City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
363,saint-augustin,90,FR,1521995400,100,44.83,-0.61,51.8,11.41
364,kayerkan,8,RU,1521997062,65,69.35,87.76,-35.26,2.59
365,ardakan,0,IR,1521995400,4,32.31,54.02,78.8,4.7
366,miri,0,NG,1521997062,25,10.31,9.75,84.13,5.01
367,natal,75,BR,1521993600,66,-5.81,-35.21,86.0,17.22
368,mena,8,UA,1521997063,82,51.52,32.22,27.79,11.54
369,charters towers,92,AU,1521996875,99,-20.07,146.27,71.49,5.79
370,omboue,36,GA,1521996801,100,-1.57,9.26,83.05,12.1
371,saurimo,40,AO,1521993600,51,-9.66,20.4,84.2,5.82
372,kaeo,0,NZ,1521997063,76,-35.1,173.78,54.88,4.56
373,sabang,92,PH,1521996854,88,13.72,123.58,77.83,13.56
374,soyo,0,AO,1521997063,57,-6.13,12.37,84.54,7.85
375,patrocinio,92,PH,1521997063,88,13.72,123.64,77.83,13.56
376,rancho veloz,20,CU,1521993000,47,22.88,-80.39,78.8,10.29
377,chokurdakh,48,RU,1521996859,66,70.62,147.9,-14.51,3.11
378,san borja,92,BO,1521997064,100,-14.86,-66.75,68.52,4.23
379,luanda,40,AO,1521993600,74,-8.83,13.24,84.2,11.41
